,Player,Tm,season17_18
100,Solomon Hill,NOP,12236535
101,Wilson Chandler,DEN,12016854
102,Jeremy Lin,BRK,1.2E+07
103,Kemba Walker,CHO,1.2E+07
104,Derrick Favors,UTA,1.2E+07
105,Austin Rivers,LAC,11825000
106,Courtney Lee,NYK,11747890
107,Nikola Pekovic,MIN,11600000
108,Jordan Clarkson,CLE,11562500
109,John Henson,MIL,11422536
110,Dion Waiters,MIA,1.1E+07
111,Amir Johnson,PHI,1.1E+07
112,Jamal Crawford,ATL,10942762
113,Alec Burks,UTA,10845506
114,Patty Mills,SAS,10714286
115,Kelly Olynyk,MIA,10607169
116,Omer Asik,CHI,10595505
117,Terrence Ross,ORL,10500000
118,Mirza Teletovic,MIL,10500000
119,Bojan Bogdanovic,IND,10500000
120,Jon Leuer,DET,10497319
121,Iman Shumpert,SAC,10337079
122,Maurice Harkless,POR,10162922
123,Jared Dudley,PHO,1E+07
124,Darren Collison,IND,1E+07
125,Danny Green,SAS,1E+07
126,Meyers Leonard,POR,9904495
127,Tony Snell,MIL,9821429
128,Al Jefferson,IND,9769821
129,Matthew Dellavedova,MIL,9607500
130,Joe Johnson,SAC,9505000
131,Bogdan Bogdanovic,SAC,9470614
132,Andre Roberson,OKC,9259259
133,Trevor Booker,PHI,9125000
134,Dwight Powell,DAL,9003125
135,Jerryd Bayless,PHI,9E+06
136,Avery Bradley,LAC,8808989
137,JaMychal Green,MEM,8533333
138,E'Twaun Moore,NOP,8445024
139,Rudy Gay,SAS,8406000
140,Kosta Koufos,SAC,8393000
141,Markieff Morris,WAS,8E+06
142,Garrett Temple,SAC,8E+06
143,Vince Carter,SAC,8E+06
144,C.J. Miles,TOR,7936509
145,Cristiano Felicio,CHI,7843500
146,Shaun Livingston,GSW,7692308
147,Cory Joseph,IND,7630000
148,P.J. Tucker,HOU,7590035
149,Corey Brewer,LAL,7579366
150,Andrew Wiggins,MIN,7574322
151,Darrell Arthur,DEN,7464912
152,Channing Frye,LAL,7420912
153,Trevor Ariza,HOU,7420912
154,Al-Farouq Aminu,POR,7319035
155,Cole Aldrich,MIN,7300000
156,D.J. Augustin,ORL,7250000
157,Markelle Fultz,PHI,7026240
158,Lou Williams,LAC,7E+06
159,Kyle Korver,CLE,7E+06
160,Jeremy Lamb,CHO,7E+06
161,Boban Marjanovic,LAC,7E+06
162,Jae Crowder,UTA,6796117
163,Jabari Parker,MIL,6782392
164,Langston Galloway,DET,6666667
165,Lance Thomas,NYK,6655325
166,Ed Davis,POR,6352531
167,Marco Belinelli,ATL,6306060
168,Jonathon Simmons,ORL,6300000
169,Lonzo Ball,LAL,6286560
170,Wayne Ellington,MIA,6270000
171,Isaiah Thomas,LAL,6261395
172,Karl-Anthony Towns,MIN,6216840
173,Ben Simmons,PHI,6168840
174,Joel Embiid,PHI,6100266
175,Spencer Hawes,MIL,6021175
176,Josh McRoberts,DAL,6021175
177,Ish Smith,DET,6E+06
178,Alan Williams,PHO,6E+06
179,Shelvin Mack,ORL,6E+06
180,Milos Teodosic,LAC,6E+06
181,Ersan Ilyasova,ATL,6E+06
182,Dewayne Dedmon,ATL,6E+06
183,Tyler Johnson,MIA,5881260
184,Wesley Johnson,LAC,5881260
185,Alex Abrines,OKC,5725000
186,Jayson Tatum,BOS,5645400
187,D'Angelo Russell,BRK,5562360
188,Brandon Ingram,LAL,5519400
189,Patrick Beverley,LAC,5513514
190,Aaron Gordon,ORL,5504420
191,Deron Williams,BRK,5500000
192,Josh Smith,DET,5400000
193,Thabo Sefolosha,UTA,5250000
194,Jason Smith,WAS,5225000
195,Ben McLemore,MEM,5200000
196,Patrick Patterson,OKC,5192000
197,Nick Young,GSW,5192000
198,Brandan Wright,MEM,5179760
199,Josh Jackson,PHO,5090040
200,Marcus Morris,BOS,5E+06
201,Dirk Nowitzki,DAL,5E+06
202,Greg Monroe,BOS,5E+06
203,Mike Muscala,ATL,5E+06
204,Jahlil Okafor,BRK,4995120
205,Dante Exum,UTA,4992385
206,Alexis Ajinca,NOP,4961798
207,Jaylen Brown,BOS,4956480
208,Jameer Nelson,DEN,4736050
209,Kyle Singler,OKC,4666500
210,Justin Holiday,CHI,4615385
211,De'Aaron Fox,SAC,4609200
212,Marcus Smart,BOS,4538020
213,Kristaps Porzingis,NYK,4503600
214,Dragan Bender,PHO,4468800
215,Devin Harris,DEN,4402546
216,Ron Baker,NYK,4328000
217,Jamal Crawford,MIN,4328000
218,Aron Baynes,BOS,4328000
219,Alex Len,PHO,4187599
220,Nerlens Noel,DAL,4187599
221,Jonathan Isaac,ORL,4186320
222,Lance Stephenson,IND,4180000
223,Julius Randle,LAL,4149242
224,Kyle O'Quinn,NYK,4087500
225,Mario Hezonja,ORL,4078320
226,Kris Dunn,CHI,4046760
227,Jonas Jerebko,UTA,4E+06
228,Nemanja Bjelica,MIN,3949999
229,J.J. Barea,DAL,3903900
230,Quincy Pondexter,CHI,3853931
231,Lauri Markkanen,CHI,3821640
232,Nik Stauskas,BRK,3807146
233,Willie Cauley-Stein,SAC,3704160
234,Buddy Hield,SAC,3675480
235,Will Barton,DEN,3533333
236,Noah Vonleh,CHI,3505233
237,Frank Ntilikina,NYK,3501120
238,Nene Hilario,HOU,3477600
239,Zaza Pachulia,GSW,3477600
240,Troy Daniels,PHO,3408520
241,Emmanuel Mudiay,NYK,3381480
242,Jamal Murray,DEN,3355320
243,Elfrid Payton,PHO,3332340
244,Rajon Rondo,NOP,3300000
245,Doug McDermott,DAL,3294994
246,Jodie Meeks,WAS,3290000
247,Tyreke Evans,MEM,3290000
248,Tarik Black,HOU,3290000
249,Anthony Tolliver,DET,3290000
250,Dennis Smith,DAL,3218280
251,Zach LaVine,CHI,3202217
252,Ekpe Udoh,UTA,3200000
253,T.J. Warren,PHO,3152931
254,Stanley Johnson,DET,3097800
255,Marquese Chriss,PHO,3073800
256,Zach Collins,POR,3057240
257,James Ennis,DET,3028410
258,Seth Curry,DAL,3028410
259,Mindaugas Kuzminskas,NYK,3025035
260,Tomas Satoransky,WAS,3E+06
261,Rajon Rondo,CHI,3E+06
262,Lucas Nogueira,TOR,2947305
263,Jusuf Nurkic,POR,2947305
264,Malik Monk,CHO,2904480
265,Frank Kaminsky,CHO,2847600
266,Andrew Nicholson,POR,2844429
267,Jakob Poeltl,TOR,2825640
268,Luke Kennard,DET,2759280
269,Justise Winslow,MIA,2705040
270,Michael Carter-Williams,CHO,2700000
271,Thon Maker,MIL,2684160
272,Cedi Osman,CLE,2642857
273,Donovan Mitchell,UTA,2621280
274,Myles Turner,IND,2569920
275,Gary Harris,DEN,2550055
276,Domantas Sabonis,IND,2550000
277,Manu Ginobili,SAS,2500000
278,Reggie Bullock,DET,2500000
279,Richard Jefferson,ATL,2500000
280,Malcolm Delaney,ATL,2500000
281,Bam Adebayo,MIA,2490360
282,Bruno Caboclo,SAC,2451225
283,Ronnie Price,OKC,2442455
284,Trey Lyles,DEN,2441400
285,Dario Saric,PHI,2422560
286,Taurean Waller-Prince,ATL,2422560
287,Rodney Hood,CLE,2386864
288,Justin Jackson,SAC,2365560
289,Shabazz Napier,POR,2361360
290,Clint Capela,HOU,2334520
291,Arron Afflalo,ORL,2328652
292,Raymond Felton,OKC,2328652
293,Nick Collison,OKC,2328652
294,Ramon Sessions,NYK,2328652
295,Jarrett Jack,NYK,2328652
296,Jason Terry,MIL,2328652
297,Udonis Haslem,MIA,2328652
298,Dwyane Wade,MIA,2328652
299,David West,GSW,2328652
300,Richard Jefferson,DEN,2328652
301,Jose Calderon,CLE,2328652
302,Andrew Bogut,LAL,2328652
303,Devin Booker,PHO,2319360
304,Georgios Papagiannis,SAC,2301360
305,Dante Cunningham,BRK,2300000
306,Jameer Nelson,DET,2262871
307,Justin Patton,MIN,2247480
308,Guerschon Yabusele,BOS,2247480
309,Monta Ellis,IND,2245400
310,Cameron Payne,CHI,2203440
311,Denzel Valentine,CHI,2186400
312,Josh Smith,NOP,2183934
313,Kyle Anderson,SAS,2151704
314,D.J. Wilson,MIL,2135040
315,Matt Barnes,SAC,2133542
316,Derrick Rose,UTA,2116955
317,Marreese Speights,ORL,2116955
318,Michael Beasley,NYK,2116955
319,Aaron Brooks,MIN,2116955
320,Luc Mbah a Moute,HOU,2116955
321,JaVale McGee,GSW,2116955
322,Jeff Green,CLE,2116955
323,Tony Allen,CHI,2116955
324,Damien Wilkins,IND,2116955
325,Omri Casspi,GSW,2106470
326,Mario Chalmers,MEM,2106407
327,Darius Miller,NOP,2100000
328,Kelly Oubre,WAS,2093040
329,Juan Hernangomez,DEN,2076840
330,T.J. Leaf,IND,2028360
331,Tim Frazier,WAS,2E+06
332,Anthony Tolliver,SAC,2E+06
333,Terry Rozier,BOS,1988520
334,Luke Babbitt,MIA,1974159
335,John Collins,ATL,1936920
336,Anderson Varejao,POR,1913345
337,Rashad Vaughn,NOP,1889040
338,Tim Duncan,SAS,1881250
339,Wade Baldwin,MEM,1874400
340,Larry Sanders,MIL,1865547
341,Harry Giles,SAC,1859400
342,Sam Dekker,LAC,1794600
343,Terrance Ferguson,OKC,1785000
344,Henry Ellenson,DET,1780800
345,Eric Moreland,DET,1739333
346,Jerian Grant,CHI,1713840
347,Jarrett Allen,BRK,1713720
348,Mike Scott,WAS,1709538
349,Tyler Zeller,MIL,1709538
350,Quincy Acy,BRK,1709538
351,Malik Beasley,DEN,1700640
352,Mike Dunleavy,ATL,1662500
353,Delon Wright,TOR,1645200
354,OG Anunoby,TOR,1645200
355,Ante Zizic,CLE,1645200
356,Caris LeVert,BRK,1632480
357,Justin Anderson,PHI,1579440
358,Tyler Lydon,DEN,1579440
359,Jeff Withey,DAL,1577320
360,Ian Clark,NOP,1577230
361,Shabazz Muhammad,MIN,1577230
362,Willie Reed,CHI,1577230
363,DeAndre Liggins,MIL,1577230
364,DeAndre' Bembry,ATL,1567200
365,Joffrey Lauvergne,SAS,1524305
366,Jerami Grant,OKC,1524305
367,Johnny O'Bryant,NYK,1524305
368,Tyler Ennis,LAL,1524305
369,Julyan Stone,CHO,1524305
370,Sean Kilpatrick,BRK,1524305
371,Joe Harris,BRK,1524305
372,Spencer Dinwiddie,BRK,1524305
373,Shane Larkin,BOS,1524305
374,Glenn Robinson,IND,1524305
375,Bobby Brown,HOU,1524305
376,Bobby Portis,CHI,1516320
377,Malachi Richardson,TOR,1504560
378,Arron Afflalo,SAC,1500000
379,Norman Powell,TOR,1471382
380,Josh Richardson,MIA,1471382
381,Rondae Hollis-Jefferson,BRK,1471382
382,Tyus Jones,MIN,1471382
383,Jarell Martin,MEM,1471382
384,Larry Nance,CLE,1471382
385,Troy Williams,HOU,1471382
386,Chris McCullough,WAS,1471382
387,Raul Neto,UTA,1471382
388,Pat Connaughton,POR,1471382
389,Richaun Holmes,PHI,1471382
390,T.J. McConnell,PHI,1471382
391,Josh Huestis,OKC,1471382
392,Jordan Mickey,MIA,1471382
393,Montrezl Harrell,LAC,1471382
394,Joe Young,IND,1471382
395,Kevon Looney,GSW,1471382
396,Nikola Jokic,DEN,1471382
397,Salah Mejri,DAL,1471382
398,Caleb Swanigan,POR,1465920
399,Furkan Korkmaz,PHI,1465920
400,Willy Hernangomez,CHO,1435750
401,Kyle Kuzma,LAL,1423560
402,Tony Bradley,UTA,1414920
403,Derrick White,SAS,1404600
404,Josh Hart,LAL,1394520
405,Timothe Luwawu-Cabarrot,PHI,1386600
406,Kevin Martin,MIN,1360305
407,Brice Johnson,MEM,1331160
408,Pascal Siakam,TOR,1312611
409,Dejounte Murray,SAS,1312611
410,Skal Labissiere,SAC,1312611
411,A.J. Hammons,MIA,1312611
412,Deyonta Davis,MEM,1312611
413,Chinanu Onuaku,HOU,1312611
414,Damian Jones,GSW,1312611
415,Wayne Selden,MEM,1312611
416,Cheick Diallo,NOP,1312611
417,Joel Bolomboy,UTA,1312611
418,Davis Bertans,SAS,1312611
419,Bryn Forbes,SAS,1312611
420,Jake Layman,POR,1312611
421,Tyler Ulis,PHO,1312611
422,Marcus Georges-Hunt,MIN,1312611
423,Malcolm Brogdon,MIL,1312611
424,Rodney McGruder,MIA,1312611
425,Andrew Harrison,MEM,1312611
426,Ivica Zubac,LAL,1312611
427,Patrick McCaw,GSW,1312611
428,Dorian Finney-Smith,DAL,1312611
429,Yogi Ferrell,DAL,1312611
430,Treveon Graham,CHO,1312611
431,David Nwaba,CHI,1312611
432,Paul Zipser,CHI,1312611
433,Isaiah Whitehead,BRK,1312611
434,Sheldon Mac,ATL,1312611
435,Okaro White,ATL,1312611
436,Nicolas Brussino,ATL,1312611
437,Diamond Stone,ATL,1312611
438,Isaiah Taylor,ATL,1312611
439,Kay Felder,CHI,1312611
440,Fred VanVleet,TOR,1312611
441,Derrick Jones,PHO,1312611
442,Chasson Randle,NYK,1312611
443,Stephen Zimmerman,LAL,1312611
444,Semi Ojeleye,BOS,1291892
445,Frank Mason,SAC,1184385
446,Abdel Nader,BOS,1167333
447,Damyean Dotson,NYK,1100000
448,Paul Pierce,LAC,1096080
449,Isaiah Canaan,PHO,1069308
450,Wesley Iwundu,ORL,1050000
451,Livio Jean-Charles,SAS,1035200
452,Justin Hamilton,TOR,1E+06
453,Gerald Henderson,PHI,1E+06
454,Rade Zagorac,MEM,950000
455,Ivan Rabb,MEM,950000
456,Ike Anigbogu,IND,950000
457,Gerald Green,HOU,947248
458,Jason Thompson,GSW,945126
459,Martell Webster,WAS,830000
460,Frank Jackson,NOP,815615
461,Jordan Bell,GSW,815615
462,Dakari Johnson,OKC,815615
463,Sterling Brown,MIL,815615
464,Dillon Brooks,MEM,815615
465,Jawun Evans,LAC,815615
466,Sindarius Thornwell,LAC,815615
467,Dwayne Bacon,CHO,815615
468,Tyler Dorsey,ATL,815615
469,Davon Reed,PHO,815615
470,Royce O'Neale,UTA,815615
471,Alfonzo McKinnie,TOR,815615
472,Brandon Paul,SAS,815615
473,Khem Birch,ORL,815615
474,Thomas Bryant,LAL,815615
475,Zhou Qi,HOU,815615
476,Maxi Kleber,DAL,815615
477,Daniel Theis,BOS,815615
478,Sean Kilpatrick,MIL,789725
479,Trey Burke,NYK,784160
480,Alex Poythress,IND,778668
481,Marco Belinelli,PHI,776217
482,Joe Johnson,HOU,749905
483,Dwight Buycks,DET,748160
484,Tyler Cavanaugh,ATL,679919
485,Carlos Delfino,LAC,650000
486,Caron Butler,SAC,517220
487,Jordan Farmar,LAC,510921
488,Ersan Ilyasova,PHI,502328
489,Leandro Barbosa,PHO,5E+05
490,Tibor Pleiss,PHI,5E+05
491,Michael Gbinije,DET,5E+05
492,Aaron Gray,DET,452059
493,Festus Ezeli,POR,333334
494,C.J. Watson,ORL,333334
495,Gal Mekel,DAL,315760
496,Miroslav Raduljica,LAC,3E+05
497,Cameron Oliver,HOU,3E+05
498,Ramon Sessions,WAS,263124
499,Jordan Crawford,NOP,250000
500,Emeka Okafor,NOP,239204
501,Wade Baldwin,POR,222476
502,Isaiah Canaan,CHI,2E+05
503,Rakeem Christmas,IND,172552
504,DeAndre Liggins,NOP,172238
505,Sean Kilpatrick,LAC,172238
506,Rashad Vaughn,ORL,166258
507,Troy Williams,NYK,148318
508,Travis Wear,LAL,148318
509,Carrick Felix,WAS,140902
510,Brandon Rush,POR,119602
511,Brandon Jennings,MIL,119010
512,Derrick Williams,LAL,104059
513,K.J. McDaniels,TOR,1E+05
514,Marshall Plumlee,NYK,1E+05
515,Georges Niang,IND,1E+05
516,Quinn Cook,ATL,1E+05
517,Demetrius Jackson,BOS,92858
518,Kyle Collinsworth,DAL,92160
519,Josh Gray,PHO,92160
520,Naz Mitrou-Long,UTA,92160
521,Shaquille Harrison,PHO,92160
522,"Walt Lemon, Jr.",NOP,92160
523,Antonius Cleveland,ATL,92160
524,Jaylen Morris,ATL,92160
525,Mike James,PHO,87552
526,Jarell Eddie,BOS,83129
527,Jarell Eddie,CHI,83129
528,Briante Weber,MEM,83129
529,Demetrius Jackson,HOU,74159
530,Georgios Papagiannis,POR,74159
531,Larry Drew,NOP,74159
532,Scotty Hopson,DAL,74159
533,Isaiah Canaan,HOU,53465
534,Tyler Cavanaugh,ATL,50000
535,Kyle Collinsworth,DAL,50000
536,Demetrius Jackson,HOU,50000
537,Daniel Ochefu,WAS,50000
538,Michael Young,WAS,50000
539,Nate Wolters,UTA,50000
540,Naz Mitrou-Long,UTA,50000
541,Eric Griffin,UTA,50000
542,Jacob Pullen,PHI,50000
543,James Michael McAdoo,PHI,50000
544,Nigel Hayes,NYK,50000
545,Jalen Moore,MIL,50000
546,Gary Payton,MIL,50000
547,Matt Williams,MIA,50000
548,Vince Hunter,MEM,50000
549,Vander Blue,LAL,50000
550,V.J. Beachem,LAL,50000
551,Briante Weber,LAL,50000
552,Jamil Wilson,LAC,50000
553,Briante Weber,HOU,50000
554,Luis Montero,DET,50000
555,Gian Clavell,DAL,50000
556,Antonius Cleveland,DAL,50000
557,Diamond Stone,CHI,50000
558,Yakuba Ouattara,BRK,50000
559,Jeremy Evans,ATL,50000
560,Nigel Hayes,LAL,46080
561,Nigel Hayes,TOR,46080
562,Rodney Purvis,ORL,46080
563,Xavier Rathan-Mayes,MEM,46080
564,Trey McKinney-Jones,IND,46080
565,Jameel Warney,DAL,46080
566,Marcus Thornton,CLE,46080
567,DeAndre Liggins,ATL,26773
568,Axel Toupane,NOP,25000
569,Quinn Cook,NOP,25000
570,Chris Johnson,HOU,25000
571,Beno Udrih,DET,25000
572,Joel Bolomboy,MIL,22248
573,Jarell Eddie,CHI,17224
